MODEL,MANUFACTURER,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL,FUEL CONSUMPTION,,,,FUEL,CO2 EMISSIONS ,,,,,,
YEAR,,# = high output engine,,(L),,,TYPE,CITY (L/100 km),HWY (L/100 km),CITY (mi./gal.),HWY (mi./gal.),(L) / YEAR,(kg) / YEAR,,,,,,
2004,CHEVROLET,C1500 SUBURBAN FFV,SPECIAL PURPOSE,5.3,8,A4,E,22.5,15.9,13,18,3906,6250,,,,,,
2004,CHEVROLET,C1500 TAHOE,SPECIAL PURPOSE,4.8,8,A4,X,15.1,11.4,19,25,2687,6180,,,,,,
2004,CHEVROLET,C1500 TAHOE,SPECIAL PURPOSE,5.3,8,A4,X,16.2,12.0,17,24,2862,6583,,,,,,
2004,CHEVROLET,C1500 TAHOE FFV,SPECIAL PURPOSE,5.3,8,A4,X,17.0,12.0,17,24,2950,6785,,,,,,
2004,CHEVROLET,C1500 TAHOE FFV,SPECIAL PURPOSE,5.3,8,A4,E,22.5,15.9,13,18,3906,6250,,,,,,
2004,CHEVROLET,CAVALIER,COMPACT,2.2,4,A4,X,9.8,6.6,29,43,1672,3846,,,,,,
2004,CHEVROLET,CAVALIER,COMPACT,2.2,4,M5,X,9.4,6.0,30,47,1574,3620,,,,,,
2004,CHEVROLET,CAVALIER BI-FUEL,COMPACT,2.2,4,A4,X,9.6,6.7,29,42,1659,3816,,,,,,
2004,CHEVROLET,CAVALIER BI-FUEL,COMPACT,2.2,4,A4,N,10.2,6.7,28,42,1725,3260,,,,,,
2004,CHEVROLET,COLORADO,PICKUP TRUCK,3.5,5,A4,X,12.8,9.2,22,31,2236,5143,,,,,,
2004,CHEVROLET,COLORADO,PICKUP TRUCK,3.5,5,M5,X,13.1,8.7,22,32,2224,5115,,,,,,
2004,CHEVROLET,COLORADO 4X4,PICKUP TRUCK,2.8,4,A4,X,13.6,9.4,21,30,2342,5387,,,,,,
2004,CHEVROLET,COLORADO 4X4,PICKUP TRUCK,3.5,5,A4,X,13.9,9.7,20,29,2402,5525,,,,,,
2004,CHEVROLET,COLORADO 4X4,PICKUP TRUCK,3.5,5,M5,X,13.5,9.5,21,30,2340,5382,,,,,,
2004,CHEVROLET,CORVETTE,TWO-SEATER,5.7,8,A4,Z,13.2,8.9,21,32,2253,5182,,,,,,
2004,CHEVROLET,CORVETTE,TWO-SEATER,5.7,8,M6,Z,12.3,7.7,23,37,2046,4706,,,,,,
2004,CHEVROLET,EPICA,MID-SIZE,2.5,6,A4,X,11.9,7.9,24,36,2020,4646,,,,,,
2004,CHEVROLET,EXPRESS CARGO BI-FUEL,MINIVAN,6.0,8,A4,X,19.5,13.4,15,21,3351,7707,,,,,,
2004,CHEVROLET,EXPRESS CARGO BI-FUEL,MINIVAN,6.0,8,A4,N,20.2,13.8,14,22,3464,6547,,,,,,
2004,CHEVROLET,EXPRESS CARGO CNG,MINIVAN,6.0,8,A4,N,20.2,13.8,14,20,3464,6547,,,,,,
2004,CHEVROLET,G15 EXPRESS PASSENGER,MINIVAN,4.3,6,A4,X,16.8,12.1,17,23,2937,6755,,,,,,
2004,CHEVROLET,G15 EXPRESS PASSENGER,MINIVAN,5.3,8,A4,X,16.2,12.0,17,24,2862,6583,,,,,,
2004,CHEVROLET,G15/25 EXPRESS CARGO,MINIVAN,4.3,6,A4,X,16.8,12.1,17,23,2937,6755,,,,,,
2004,CHEVROLET,G15/25 EXPRESS CARGO,MINIVAN,5.3,8,A4,X,16.2,12.0,17,24,2862,6583,,,,,,
2004,CHEVROLET,H15 EXPRESS AWD PASSENGER,MINIVAN,5.3,8,A4,X,17.0,13.1,17,22,3049,7013,,,,,,
2004,CHEVROLET,H15/25 EXPRESS AWD CARGO,MINIVAN,5.3,8,A4,X,17.0,13.1,17,22,3049,7013,,,,,,
2004,CHEVROLET,IMPALA,FULL-SIZE,3.4,6,A4,X,11.0,6.7,26,42,1813,4170,,,,,,
2004,CHEVROLET,IMPALA,FULL-SIZE,3.8,6,A4,X,11.8,7.1,24,40,1937,4455,,,,,,
2004,CHEVROLET,IMPALA #,FULL-SIZE,3.8,6,A4,Z,13.4,8.2,21,34,2212,5088,,,,,,
2004,CHEVROLET,K1500 AVALANCHE 4X4,PICKUP TRUCK,5.3,8,A4,X,17.0,13.1,17,22,3049,7013,,,,,,
2004,CHEVROLET,K1500 AVALANCHE 4X4 FFV,PICKUP TRUCK,5.3,8,A4,X,19.5,14.3,14,20,3432,7894,,,,,,
2004,CHEVROLET,K1500 AVALANCHE 4X4 FFV,PICKUP TRUCK,5.3,8,A4,E,21.8,16.0,13,18,3838,6141,,,,,,
